67,286
67,229
62,268
63,254
53,203
56,256
48,229
58,284
58,224
60,206
40,167
60,230
64,335
43,177
57,276
55,353
65,225
61,330
58,230
50,243
44,290
60,253
54,266
50,233
41,172
51,305
58,216
54,188
60,282
60,185
59,326
46,231
67,254
62,267
65,248
44,197
60,258
58,270
68,274
62,164
52,255
59,239
60,258
49,188
59,177
57,229
61,260
39,219
61,307
56,249
43,341
62,263
63,330
65,254
48,256
63,407
55,217
65,282
56,288
54,239
70,174
62,281
35,198
59,288
64,309
47,243
57,289
55,289
64,246
70,322
51,299
58,300
60,293
77,304
35,282
70,269
59,249
64,212
57,274
56,184
48,274
56,409
66,246
54,283
69,254
51,298
43,247
62,294
67,299
59,273
45,309
58,259
50,200
62,244
38,231
66,228
52,230
53,282
63,269
54,206
66,212
55,327
49,149
54,286
56,283
46,249
61,234
67,237
58,234
47,275
52,212
58,218
57,261
58,319
61,166
42,315
52,204
59,218
40,223
61,207
46,311
59,204
57,232
57,335
55,205
61,203
58,318
58,225
67,212
44,169
63,187
63,197
59,176
57,241
45,264
68,193
57,131
57,236
